population,hospitals,mobilehomes,psubstations,tors
0,0,0,0,0.0
2000,0,0,1,5.0
0,0,0,0,0.0
13616,0,0,2,7.0
43200,0,125,3,2.0
0,0,0,0,0.0
17504,0,0,1,6.0
0,0,0,0,0.0
4656,0,0,0,5.0
336,0,0,0,1.0
224,0,0,1,1.0
8384,2,75,2,1.0
25312,0,0,3,2.0
78576,1,0,9,2.0
154960,0,875,11,5.0
1760,0,0,0,3.0
74608,1,175,4,19.0
0,0,0,0,0.0
9952,0,0,4,8.0
2368,0,0,0,2.0
77552,10,600,17,12.0
9584,2,75,2,4.0
37648,0,150,2,3.0
736,0,0,1,3.0
0,0,0,0,0.0
0,0,0,0,0.0
66144,0,250,4,4.0
0,0,0,0,0.0
976,0,0,1,2.0
4160,0,0,1,5.0
9008,0,25,0,6.0
3504,0,0,0,5.0
9904,1,0,2,2.0
48,0,0,0,1.0
1120,0,0,0,4.0
0,0,0,0,2.0
16416,0,0,1,4.0
7200,0,0,2,12.0
1248,1,150,1,4.0
24416,1,200,1,4.0
144,0,0,0,1.0
5088,0,600,3,2.0
0,0,0,0,0.0
3600,0,200,1,7.0
3760,0,0,0,2.0
368,0,0,0,1.0
4032,0,0,0,2.0
0,0,0,0,0.0
0,0,0,0,0.0
2048,0,0,0,1.0
2128,0,0,1,1.0
18448,0,25,0,2.0
53248,0,0,5,1.0
0,0,0,0,0.0
464,0,0,0,2.0
336,0,0,0,1.0
95344,0,0,3,5.0
672,0,0,0,2.0
16,0,0,0,1.0
192,0,0,0,2.0
6560,0,25,0,3.0
5552,0,75,1,3.0
8608,0,25,0,3.0
7440,0,0,3,1.0
160,0,0,0,1.0
118288,0,125,6,10.0
224,0,0,0,1.0
67408,1,500,5,6.0
32,0,0,0,1.0
336,1,200,0,3.0
0,0,0,0,0.0
1664,0,0,0,3.0
61168,2,550,3,11.0
3856,0,0,6,5.0
1344,0,0,0,4.0
46560,0,0,3,3.0
36400,0,125,2,3.0
37872,0,875,4,4.0
3888,2,200,1,2.0
32,0,0,0,1.0
85392,2,75,1,5.0
0,0,0,0,0.0
82480,3,1275,16,15.0
3280,0,0,1,5.0
10704,0,25,0,8.0
304,0,0,1,5.0
112,0,0,1,2.0
0,0,0,0,0.0
912,0,175,0,2.0
80,0,0,0,1.0
46336,1,850,3,3.0
51760,1,0,10,5.0
4448,1,0,0,3.0
80,0,0,0,2.0
29984,1,25,2,6.0
55888,1,175,8,8.0
16,0,0,0,1.0
0,0,0,0,0.0
2816,0,0,1,5.0
4288,0,0,0,2.0
5056,0,75,0,4.0
608,0,0,0,3.0
4592,0,0,0,2.0
304,0,0,0,1.0
27184,1,75,2,7.0
121600,3,25,8,10.0
16,0,0,0,1.0
976,0,25,1,2.0
11120,1,0,1,2.0
224,0,0,0,1.0
6336,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,1.0
0,0,0,0,0.0
48,0,0,0,1.0
16,0,0,1,1.0
128,0,0,0,2.0
736,0,0,0,3.0
0,0,0,0,0.0
368,0,0,0,5.0
6256,0,0,0,4.0
54832,5,25,3,1.0
136368,11,1675,16,6.0
53120,1,475,9,5.0
384,0,0,0,1.0
256,0,25,0,5.0
0,0,0,0,1.0
89744,4,75,2,4.0
0,0,0,0,0.0
240,0,0,0,2.0
848,0,0,0,1.0
2576,0,0,0,3.0
48,0,0,0,1.0
400,0,0,0,1.0
5168,0,175,2,2.0
944,0,0,1,1.0
0,0,0,0,0.0
0,0,0,0,0.0
29648,0,0,3,7.0
64,0,0,0,2.0
7648,0,25,0,4.0
34992,1,0,5,8.0
512,0,0,1,2.0
592,0,0,0,2.0
109776,3,375,9,7.0
2640,0,50,0,3.0
5088,2,75,4,4.0
7408,5,150,1,3.0
1584,0,125,1,2.0
91888,6,525,15,7.0
752,0,0,0,4.0
20208,0,25,0,3.0
640,0,0,0,1.0
87056,0,450,8,5.0
8400,0,125,0,6.0
384,1,0,0,3.0
336,0,0,0,2.0
272,0,0,0,1.0
10864,0,0,0,1.0
0,0,0,0,0.0
992,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
912,0,0,0,3.0
4656,0,0,1,4.0
142704,0,75,9,5.0
256,0,0,0,1.0
800,0,0,1,4.0
0,0,0,0,1.0
2560,0,0,0,1.0
2864,0,0,0,2.0
176,0,0,0,3.0
49392,1,175,5,7.0
7408,1,125,0,4.0
3520,0,0,1,3.0
5456,0,125,1,9.0
29984,0,0,1,6.0
1536,0,0,0,3.0
1552,0,0,0,3.0
74656,0,0,5,6.0
416,0,0,0,2.0
192,0,0,0,1.0
208,0,0,0,2.0
1552,0,0,0,4.0
0,0,0,0,0.0
240,0,0,1,3.0
192,0,0,0,3.0
0,0,0,0,0.0
4192,0,175,4,3.0
0,0,0,0,0.0
73456,5,425,12,3.0
16,0,0,0,1.0
5248,0,0,3,7.0
36816,0,125,2,4.0
6432,0,0,0,3.0
60032,3,0,4,8.0
16,0,0,0,1.0
22080,1,125,2,3.0
0,0,0,0,0.0
2720,0,0,0,2.0
10400,0,0,2,8.0
40464,2,0,0,2.0
9024,0,200,0,13.0
6608,0,150,2,5.0
800,0,0,0,3.0
1680,0,0,0,2.0
1712,0,0,0,2.0
106560,0,425,9,5.0
656,0,0,0,1.0
4080,0,275,2,1.0
58976,0,1175,7,7.0
192,0,0,0,1.0
864,0,0,0,2.0
7232,0,0,0,6.0
9584,0,0,0,1.0
2656,0,0,0,3.0
15312,1,300,3,1.0
48,0,0,0,2.0
39616,1,75,1,4.0
11312,0,0,2,3.0
0,0,0,0,0.0
3296,0,0,0,2.0
12096,0,125,3,4.0
16,0,0,0,1.0
27248,1,0,0,3.0
7632,2,0,1,4.0
8704,0,0,0,2.0
81920,0,325,5,7.0
2048,0,0,0,3.0
192,0,0,0,1.0
0,0,0,0,0.0
32,0,0,0,1.0
64,0,0,0,1.0
1200,0,25,5,1.0
3152,0,50,0,7.0
0,0,0,0,0.0
128,1,0,0,1.0
1456,0,0,1,7.0
87728,7,1725,4,5.0
768,0,0,0,5.0
16,0,0,1,1.0
6720,0,200,2,4.0
0,0,0,0,0.0
3312,0,0,0,3.0
0,0,0,0,0.0
0,0,0,0,0.0
31696,0,125,1,8.0
0,0,0,0,0.0
416,0,0,3,4.0
0,0,0,0,0.0
2192,0,0,0,3.0
0,0,0,0,0.0
5744,0,25,1,5.0
32,0,0,0,2.0
62624,1,100,1,7.0
368,0,0,0,4.0
4640,0,25,0,1.0
7536,0,125,0,5.0
12512,0,0,1,2.0
3488,0,0,0,2.0
2096,0,0,0,2.0
96,0,0,0,1.0
39824,0,0,0,2.0
6336,0,25,0,4.0
12944,0,0,2,8.0
11696,6,425,7,7.0
41856,0,0,2,4.0
4864,0,100,0,2.0
688,0,0,0,3.0
1840,0,0,0,3.0
91504,3,600,13,3.0
3584,0,0,3,3.0
0,0,0,0,0.0
2864,0,0,0,2.0
10672,0,0,1,6.0
0,0,0,0,0.0
3456,0,0,1,5.0
9632,2,75,3,7.0
15008,1,0,1,4.0
11952,0,0,0,2.0
12608,0,200,2,4.0
0,0,0,0,0.0
768,0,0,0,3.0
11584,0,25,2,6.0
59376,0,325,5,3.0
448,0,100,2,2.0
1120,0,0,0,1.0
880,0,25,0,4.0
848,0,0,0,3.0
432,0,0,1,2.0
992,0,0,0,2.0
39104,0,400,4,8.0
1808,0,0,0,1.0
0,0,0,0,0.0
6144,0,0,0,11.0
528,0,0,0,3.0
2736,0,0,0,1.0
0,0,0,0,0.0
5808,0,0,0,1.0
26912,0,25,1,1.0
5040,0,50,0,6.0
27072,0,600,1,3.0
688,0,0,0,1.0
432,0,0,1,2.0
0,0,0,0,0.0
6256,3,25,0,7.0
1424,0,0,0,2.0
8928,0,0,0,3.0
15728,0,125,5,7.0
10112,0,0,1,2.0
32,0,0,0,2.0
144,0,0,0,1.0
1312,0,0,1,5.0
112,0,0,0,1.0
16,0,0,0,1.0
1856,0,0,0,4.0
1600,0,0,0,3.0
976,0,0,0,1.0
896,6,0,3,4.0
8800,0,50,0,1.0
