population,hospitals,mobilehomes,psubstations,tors
12448,0,0,1,1.0
0,0,0,0,0.0
544,0,0,0,2.0
3440,0,0,0,4.0
6976,1,75,5,11.0
960,1,0,1,3.0
3584,3,0,3,4.0
16336,0,325,1,6.0
12656,0,25,7,2.0
624,0,0,1,2.0
1008,0,0,3,7.0
1008,0,0,0,3.0
832,0,0,1,6.0
1280,0,0,0,5.0
16,0,0,0,1.0
2144,0,0,0,10.0
1728,0,0,0,2.0
48,0,0,0,1.0
960,0,150,0,5.0
112,0,0,0,1.0
0,0,0,0,0.0
0,0,0,0,0.0
416,0,0,3,4.0
12640,0,0,1,10.0
32,0,0,0,4.0
1312,1,0,2,5.0
432,1,25,0,3.0
1056,0,0,1,7.0
1600,0,50,0,5.0
448,0,0,0,3.0
592,1,0,0,4.0
1968,0,0,1,3.0
2144,0,0,7,7.0
4048,0,50,2,3.0
64,0,0,0,2.0
336,0,0,0,2.0
160,0,0,0,4.0
44128,4,0,4,12.0
9712,0,50,1,12.0
3936,0,75,6,5.0
96,0,0,0,2.0
2016,0,0,1,4.0
240,0,0,1,4.0
6480,1,0,4,6.0
848,0,0,1,1.0
16,0,0,0,2.0
352,0,25,0,1.0
304,0,0,1,3.0
112,0,0,0,3.0
512,0,0,0,2.0
32,0,0,0,2.0
208,0,0,0,2.0
64,0,0,0,4.0
768,0,0,0,3.0
48,0,0,0,3.0
512,0,0,0,4.0
720,0,0,0,5.0
1696,0,0,3,6.0
112,0,0,0,3.0
11712,0,0,2,6.0
176,0,0,2,3.0
144,1,0,0,3.0
192,0,0,0,2.0
560,0,0,0,3.0
4720,0,25,0,10.0
16,0,0,0,2.0
464,0,0,0,3.0
144,0,0,0,4.0
50736,5,325,8,5.0
26928,2,0,2,7.0
0,0,0,0,0.0
368,0,0,0,3.0
368,1,0,2,5.0
144,0,0,0,1.0
1056,0,0,1,5.0
48,0,0,0,4.0
1568,0,0,0,2.0
2944,0,0,1,8.0
0,0,0,0,1.0
304,0,0,0,6.0
144,0,0,1,4.0
688,0,0,4,10.0
3184,0,0,0,4.0
304,0,0,0,3.0
416,0,0,1,6.0
832,0,0,0,2.0
0,0,0,0,1.0
560,0,0,0,2.0
64,0,0,2,2.0
32,1,0,2,2.0
288,0,25,1,4.0
48,0,0,1,2.0
32,0,0,0,2.0
24880,0,75,3,15.0
20800,4,400,14,24.0
96,0,0,0,1.0
16,0,0,0,1.0
9664,1,125,2,6.0
2560,0,0,3,10.0
7872,0,50,2,28.0
112,1,0,0,5.0
4784,1,350,1,5.0
112,0,0,0,1.0
3408,0,150,2,8.0
2464,0,100,2,1.0
3984,1,150,4,4.0
96,0,0,0,2.0
4640,0,0,3,3.0
336,0,0,4,6.0
464,0,0,0,5.0
32,0,0,0,1.0
2384,0,0,6,9.0
784,0,0,1,10.0
1424,0,0,1,13.0
0,0,0,0,0.0
384,0,0,0,2.0
12640,3,0,4,9.0
160,0,0,0,2.0
1584,0,0,4,5.0
0,0,0,0,2.0
160,0,0,0,3.0
6368,1,0,5,5.0
2192,0,0,2,6.0
4848,0,0,4,9.0
384,0,0,2,2.0
33344,0,500,9,14.0
368,0,0,1,9.0
1184,0,0,1,4.0
64,0,0,2,1.0
1680,0,0,0,3.0
2768,0,0,4,7.0
16,0,0,1,2.0
640,0,0,1,5.0
1600,1,0,2,8.0
1632,0,0,1,5.0
144,0,0,0,3.0
144,0,0,0,2.0
4288,0,200,1,5.0
12352,0,75,5,8.0
1952,0,25,2,7.0
368,0,0,3,5.0
9936,0,0,1,5.0
160,0,0,0,2.0
128,0,0,0,5.0
3120,0,0,0,2.0
400,0,0,0,1.0
112,1,0,2,2.0
2400,1,0,4,8.0
192,0,0,0,3.0
9392,0,75,1,8.0
3040,1,50,5,17.0
1568,0,0,3,8.0
64,0,0,1,2.0
112,0,0,0,2.0
32,0,0,0,2.0
768,0,0,0,5.0
3184,0,50,0,7.0
944,0,0,0,3.0
48,0,0,0,1.0
1936,0,0,0,6.0
14544,1,0,8,33.0
368,0,0,2,4.0
0,0,0,0,0.0
1024,0,75,0,11.0
0,0,0,0,2.0
3616,0,0,0,3.0
9376,1,0,2,8.0
1328,1,0,2,11.0
192,0,0,0,2.0
16,0,0,0,1.0
1856,0,125,0,5.0
1520,0,0,0,8.0
4128,0,0,0,5.0
