sim,population,hospitals,mobilehomes,psubstations,tors
216,592,0,25,1,7.0
217,44176,2,0,9,13.0
218,224,0,0,2,6.0
219,89312,2,50,5,11.0
220,89600,5,700,9,16.0
221,3552,0,0,2,13.0
222,480,0,0,1,10.0
223,336,0,0,2,12.0
224,736,0,0,0,8.0
225,6208,0,0,1,9.0
226,1120,1,25,0,12.0
227,5760,0,275,2,5.0
228,1120,0,0,1,10.0
229,2800,0,25,0,7.0
230,96,0,75,0,4.0
231,64,0,0,0,6.0
232,1152,0,0,1,10.0
233,3728,0,0,0,9.0
234,320,0,0,0,13.0
235,18400,0,150,5,18.0
236,480,0,0,3,8.0
237,4624,0,0,0,11.0
238,58464,1,425,9,41.0
239,1808,0,0,4,8.0
240,4224,0,0,2,9.0
241,23264,0,175,4,20.0
242,4048,0,0,1,8.0
243,58896,2,150,3,22.0
244,30400,3,275,11,24.0
245,1120,0,0,0,8.0
246,416,0,0,2,8.0
247,31584,1,100,1,29.0
248,3184,0,0,0,16.0
249,11776,0,75,4,8.0
250,33056,1,200,8,11.0
251,15792,0,50,0,7.0
252,14016,0,0,0,4.0
253,1760,0,0,0,5.0
254,3392,0,50,2,15.0
255,304,0,0,0,7.0
256,24000,0,0,0,9.0
257,24400,2,125,11,9.0
258,3296,0,25,0,19.0
259,448,0,0,0,9.0
260,864,0,0,0,8.0
261,208,0,0,0,3.0
262,11568,0,75,1,10.0
263,128,0,0,0,5.0
264,75888,3,200,7,33.0
265,7968,0,0,0,34.0
266,624,0,0,0,7.0
267,68384,5,425,3,11.0
268,16,0,0,0,1.0
269,2064,0,0,1,4.0
270,432,0,25,1,6.0
271,2608,0,0,0,14.0
272,2400,0,25,2,14.0
273,192,0,0,0,6.0
274,720,0,0,0,6.0
275,44080,0,0,2,7.0
276,560,0,0,3,6.0
277,2224,0,0,0,3.0
278,64,0,0,0,5.0
279,2496,0,0,0,9.0
280,16,0,0,0,2.0
281,50160,1,125,4,15.0
282,6320,1,125,3,23.0
283,44672,3,400,7,31.0
284,20928,0,100,3,26.0
285,8368,0,0,1,8.0
286,24672,0,575,4,14.0
287,1168,0,0,2,7.0
288,17104,0,50,6,9.0
289,22800,2,75,8,40.0
290,73136,0,25,0,3.0
291,5072,2,0,5,13.0
292,37376,1,250,9,19.0
293,624,0,0,1,5.0
294,544,0,0,0,9.0
295,1696,0,0,0,7.0
296,9168,1,0,0,10.0
297,1776,0,0,1,8.0
298,208,0,0,0,5.0
299,704,1,0,2,4.0
300,656,0,0,1,3.0
301,20112,0,0,1,7.0
302,59760,0,0,1,14.0
303,2512,1,0,1,9.0
304,1328,0,0,2,12.0
305,800,0,0,0,14.0
306,544,0,175,0,7.0
