sim,population,hospitals,mobilehomes,psubstations,tors
219,352,0,0,2,3.0
220,5696,0,75,0,1.0
221,4016,0,0,0,5.0
222,7472,1,175,6,3.0
223,960,0,0,0,1.0
224,8800,0,25,1,3.0
225,3232,0,125,6,1.0
226,528,0,0,0,3.0
227,2640,0,50,4,4.0
228,16,0,0,0,1.0
229,3952,1,75,3,1.0
230,960,0,0,0,1.0
231,800,0,0,0,2.0
232,6848,0,0,0,6.0
233,768,0,0,2,2.0
234,4192,0,175,4,7.0
235,336,0,125,3,2.0
236,528,0,0,0,3.0
237,16,0,0,1,1.0
238,0,0,0,0,0.0
239,304,0,0,0,2.0
240,16,0,0,0,1.0
241,42352,1,100,18,5.0
242,42384,1,0,4,3.0
243,64,0,0,0,2.0
244,1632,0,0,1,4.0
245,1744,0,0,0,1.0
246,11968,0,150,1,3.0
247,2032,0,0,0,2.0
248,240,0,0,0,2.0
249,3296,0,0,0,1.0
250,1536,0,75,2,2.0
251,33280,2,50,7,1.0
252,30400,3,125,3,6.0
253,768,0,50,3,2.0
254,0,0,0,0,0.0
255,160,0,0,0,2.0
256,160,0,0,0,2.0
257,3440,0,25,5,3.0
258,13600,3,0,8,2.0
259,5856,0,75,1,5.0
260,19392,4,300,6,2.0
261,368,0,0,0,3.0
262,32,0,0,0,2.0
263,288,0,0,0,2.0
264,256,0,0,0,2.0
265,928,0,100,1,2.0
266,32,0,0,0,1.0
267,8496,0,100,1,2.0
268,3712,0,0,0,2.0
269,1152,0,0,0,2.0
270,416,0,0,0,2.0
271,3328,0,75,1,3.0
272,0,0,0,0,1.0
273,384,0,0,0,2.0
274,672,0,0,1,1.0
275,7968,0,0,2,6.0
276,1168,0,0,0,3.0
277,5040,0,75,1,2.0
278,2496,0,0,2,2.0
279,1136,0,0,0,1.0
280,912,0,0,0,1.0
281,0,0,0,0,1.0
282,1216,0,0,1,7.0
283,3008,0,0,0,6.0
284,0,0,0,0,0.0
285,576,0,50,1,3.0
286,144,0,0,0,1.0
287,816,0,0,0,5.0
288,10960,1,50,1,2.0
289,32,0,0,0,1.0
290,0,0,0,0,0.0
291,1056,0,0,0,5.0
292,1312,0,0,0,5.0
293,624,0,0,1,1.0
294,10576,0,0,1,4.0
295,112,0,0,0,1.0
296,2432,0,25,10,3.0
297,160,0,0,0,1.0
298,304,0,75,2,1.0
299,848,0,0,0,1.0
300,1920,0,0,0,4.0
301,1200,0,0,1,3.0
302,2320,0,0,1,6.0
303,0,0,0,0,0.0
304,192,0,0,0,1.0
305,0,0,0,0,0.0
306,8832,3,25,5,4.0
307,1008,0,0,1,2.0
308,3456,0,125,1,2.0
309,1024,0,25,0,1.0
310,688,0,0,0,3.0
311,256,0,0,1,1.0
312,192,0,0,0,1.0
313,0,0,0,0,1.0
314,26064,0,25,8,3.0
315,64,0,0,0,1.0
316,0,0,0,0,0.0
317,96,0,0,0,1.0
318,1104,0,0,1,2.0
319,2512,0,0,0,5.0
320,6480,0,0,1,4.0
321,1312,0,25,2,4.0
322,1616,0,0,1,2.0
323,3184,0,200,3,1.0
324,17888,0,125,3,4.0
325,400,1,75,2,3.0
326,0,0,0,0,0.0
327,7840,2,25,1,2.0
328,32512,0,200,3,5.0
329,1504,0,0,1,2.0
330,544,0,25,3,3.0
331,0,0,0,0,1.0
332,0,0,0,0,0.0
333,1520,0,0,0,3.0
334,2032,0,25,1,2.0
335,1008,0,0,0,4.0
336,256,0,0,0,2.0
337,0,0,0,0,0.0
338,480,0,0,0,3.0
339,7072,0,25,1,2.0
340,224,0,0,0,1.0
341,19888,3,75,15,3.0
342,0,0,0,0,0.0
343,864,0,0,0,3.0
