sim,population,hospitals,mobilehomes,psubstations,tors
245,23360,0,0,6,21
246,28288,1,25,13,20
247,5808,0,25,5,9
248,13008,0,0,2,9
249,1408,0,50,2,8
250,2640,0,0,1,9
251,13696,1,200,8,18
252,112880,2,50,38,49
253,7808,1,0,15,28
254,5104,0,0,4,11
255,25280,0,50,17,23
256,27216,3,225,14,16
257,13264,4,50,13,32
258,7968,0,0,7,16
259,58448,4,225,16,54
260,57120,1,25,14,13
261,84720,1,1400,26,41
262,43616,0,375,7,17
263,75104,4,375,21,22
264,4752,0,25,5,10
265,11616,3,125,12,19
266,98032,0,200,16,28
267,9616,0,0,5,28
268,35648,2,50,9,35
269,8880,2,125,4,29
270,27408,0,175,13,19
271,80032,1,100,14,26
272,5984,1,125,7,9
273,92576,5,625,23,21
274,11360,0,0,2,16
275,88496,2,325,27,50
276,10032,2,50,5,9
277,8272,0,50,5,24
278,30816,4,525,13,15
279,8048,0,25,4,13
280,68064,0,500,6,16
281,55344,0,100,13,19
282,57200,2,150,24,45
283,14048,2,125,10,31
284,13664,1,50,3,9
285,12624,1,100,10,33
286,30704,0,425,15,30
287,11264,0,125,7,22
288,61680,5,525,16,25
289,72416,5,175,23,22
290,12448,0,225,8,14
291,13168,0,50,4,17
292,21632,3,100,30,52
293,13536,1,100,7,17
294,36544,2,100,10,26
295,33984,1,0,12,17
296,16096,0,25,6,20
297,7248,0,0,2,11
298,5744,0,200,1,15
299,5504,0,0,7,15
300,36304,2,400,11,28
301,101136,10,400,20,14
302,46992,2,150,17,27
303,8320,1,25,1,10
304,23600,1,75,17,17
305,6992,0,25,2,15
306,20656,1,75,8,29
307,2960,0,25,2,18
308,33632,3,300,15,23
309,39280,2,175,11,11
310,62256,1,550,6,15
311,25200,2,75,18,13
312,11408,0,25,7,24
313,34832,5,575,14,31
314,20176,0,0,5,24
315,14448,1,25,9,16
316,102288,1,175,21,15
317,41136,1,125,18,21
318,12160,0,150,4,16
319,16800,1,50,10,17
320,9136,0,125,2,7
321,7392,1,0,9,20
322,15056,1,275,6,14
323,7680,2,100,15,17
324,10016,0,50,13,16
325,91856,3,175,14,14
326,12544,1,150,6,19
327,21664,0,0,3,25
328,8080,1,25,9,38
329,864,0,0,2,7
330,24512,1,375,24,26
331,1936,0,0,8,14
332,20160,1,0,11,17
333,43344,1,150,19,26
334,32736,3,625,29,27
335,24016,0,75,12,27
336,6832,2,50,4,12
337,22512,1,50,11,14
338,101424,2,250,22,41
339,66800,1,50,12,17
340,26000,3,25,17,26
341,36096,4,400,41,22
342,15008,0,0,4,9
343,14528,0,0,7,12
344,126608,2,650,28,24
345,9408,0,25,6,13
346,6272,0,0,17,15
347,50000,3,100,11,44
348,4848,0,0,4,18
349,7024,0,25,9,12
350,16336,0,200,2,11
351,17440,1,225,14,19
352,2560,0,0,1,7
353,30640,0,175,21,15
354,14816,0,25,8,37
355,19360,1,425,5,16
356,40336,0,500,27,27
357,6224,0,0,4,17
358,34560,2,150,7,19
359,1232,1,75,1,7
360,5696,0,0,5,17
361,18640,1,75,11,18
362,72928,2,550,28,40
363,15984,0,50,14,39
364,41232,1,200,14,38
365,23856,3,50,8,22
366,7408,0,50,6,24
367,16848,1,175,0,17
368,46304,1,0,5,27
369,2912,1,0,8,11
370,4560,0,50,8,19
371,41552,0,25,13,8
372,944,0,0,3,14
373,72336,1,150,9,23
374,101152,1,525,11,32
375,10432,1,50,9,25
376,35552,1,0,12,16
377,105296,1,675,23,31
378,41328,2,500,19,43
379,10992,0,50,7,12
380,17376,3,75,6,12
381,16592,3,75,10,29
382,15936,0,175,16,18
383,6368,0,0,5,20
384,7152,1,25,7,29
385,13920,0,0,4,25
386,11120,2,75,4,23
387,3968,0,0,2,20
388,76976,2,250,16,28
389,40432,4,425,6,20
390,33856,1,25,6,10
391,4000,0,0,5,16
392,7648,0,125,9,15
393,6192,0,50,2,18
394,85472,1,300,28,54
395,4720,2,50,8,20
396,73216,1,225,19,20
397,3872,0,0,6,20
398,37984,1,425,11,24
399,9104,0,0,1,14
400,15872,1,25,9,38
401,16032,3,425,16,20
402,8768,1,175,10,18
403,1552,0,0,0,7
404,34272,2,25,7,24
405,58544,0,25,9,6
406,63984,0,375,3,12
407,21648,1,250,26,50
408,88416,2,275,9,19
409,93088,1,250,17,37
410,45248,7,575,21,18
411,18544,3,525,9,15
412,1920,0,0,2,7
413,21056,1,0,10,28
414,37248,2,125,8,18
415,11168,0,75,2,16
416,2960,0,0,3,7
417,9952,0,0,8,15
418,3136,0,25,3,16
419,80992,3,550,14,22
420,12096,0,0,23,33
421,12624,2,350,16,23
422,160,0,0,0,7
423,23024,0,200,8,32
424,4224,0,125,10,9
425,153984,2,700,32,13
426,38704,1,475,18,18
427,38736,2,25,15,31
428,110880,3,200,23,38
429,13440,0,0,5,14
430,8160,2,0,13,10
431,77904,3,425,25,33
432,2944,0,0,1,13
433,45264,0,100,4,17
434,3648,0,0,8,15
435,2416,0,0,4,8
436,86128,4,1125,21,24
437,60688,0,0,4,13
438,24224,3,50,20,24
439,2800,0,0,5,14
440,10720,0,75,13,17
441,8192,0,0,10,15
442,18000,0,0,4,32
443,91568,2,375,44,62
444,17744,0,0,3,16
445,11744,1,25,14,22
446,62480,1,175,32,35
447,2896,0,0,3,17
448,4128,0,0,2,11
449,9088,0,50,12,25
450,15216,2,125,6,13
451,68880,3,325,18,38
452,23936,3,125,14,37
453,5856,1,50,12,23
454,39504,3,375,11,23
455,2992,1,25,3,15
456,41232,0,600,3,13
457,70976,0,100,13,31
458,27584,2,0,14,23
459,50016,1,200,6,27
460,42592,1,375,12,31
461,86128,0,100,13,13
462,90608,4,1050,23,34
463,166032,2,500,28,24
464,10800,1,25,8,20
465,75360,4,450,16,21
466,43072,1,325,26,44
467,23232,0,100,7,23
468,40688,1,50,7,14
469,20128,0,400,13,30
470,86816,3,50,16,40
471,104816,5,600,40,46
472,50000,1,225,23,29
473,5152,0,0,4,13
474,7360,0,0,10,19
475,13296,1,25,16,16
476,63472,2,75,18,23
477,6176,0,25,4,17
478,2640,1,0,7,14
479,18496,1,150,11,16
480,29760,1,25,12,29
481,189328,4,950,44,38
482,22064,2,75,9,30
483,6512,0,50,6,13
484,8192,1,25,5,14
485,39456,3,125,16,16
486,3568,2,50,9,14
487,63632,2,225,11,24
488,5360,0,0,7,13
489,6992,0,0,3,10
490,10048,1,225,21,24
491,27952,4,200,11,25
492,41312,2,0,3,12
493,25296,2,0,11,22
494,8016,0,25,9,21
495,16272,0,25,7,5
496,65344,4,125,19,11
497,848,0,200,11,5
498,53600,3,275,17,26
499,7536,0,25,8,11
500,30544,1,825,23,43
501,5200,1,25,13,30
502,21936,1,25,18,25
503,60240,6,150,12,10
504,3216,1,0,3,9
505,47488,5,75,21,42
506,3680,0,0,1,7
507,5648,1,75,6,18
508,37184,1,0,2,12
509,2448,0,0,3,13
510,19648,0,25,9,24
511,49792,1,250,14,28
512,60384,3,175,18,26
513,47696,1,225,14,27
514,51168,2,175,8,18
515,85840,0,200,34,49
516,12464,0,425,4,18
517,352,0,0,2,6
518,37152,1,125,33,41
519,6704,0,0,5,20
520,5216,0,25,10,20
521,18016,1,100,20,20
522,20608,1,0,6,15
523,113344,2,550,30,45
524,9312,0,0,7,29
525,31728,2,300,21,24
526,13904,0,300,8,18
527,13696,1,275,11,17
528,3200,1,0,3,14
529,23184,1,175,13,25
530,19504,0,0,1,14
531,63600,3,500,14,30
532,1136,1,0,7,8
533,33904,0,100,5,25
534,17584,0,25,19,28
535,11632,1,100,12,29
536,8400,0,25,5,23
537,14288,0,25,10,34
538,23216,1,125,32,35
539,13200,1,125,11,23
540,5552,0,0,4,5
541,29648,1,125,5,20
542,13568,0,25,19,24
543,20656,4,325,21,21
544,1392,0,0,0,4
545,5696,0,0,7,23
546,18992,1,25,9,18
547,3968,1,0,1,8
548,15200,0,25,5,16
549,66960,2,200,18,46
550,104144,2,100,29,22
551,29552,0,725,13,18
552,13440,2,50,11,21
553,25248,2,125,20,36
554,23504,2,650,12,10
555,10160,2,0,9,23
556,46464,5,550,13,9
557,7024,0,25,4,14
558,31280,4,325,17,31
559,3392,1,0,3,10
560,7728,1,25,2,30
561,4832,0,0,5,15
562,103968,4,50,14,18
563,136784,1,475,32,46
564,9760,0,25,10,22
