sim,population,hospitals,mobilehomes,psubstations,tors
1,0,0,0,0,0.0
2,1456,0,0,0,1.0
3,240,0,25,0,1.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,128,0,0,0,1.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,27152,0,150,4,2.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,0,0,0,0,0.0
14,0,0,0,0,0.0
15,0,0,0,0,0.0
16,0,0,0,0,0.0
17,32,0,0,0,2.0
18,0,0,0,0,0.0
19,0,0,0,0,0.0
20,0,0,0,0,0.0
21,0,0,0,0,0.0
22,1888,0,0,0,2.0
23,1424,0,50,0,1.0
24,9984,0,200,4,11.0
25,0,0,0,0,0.0
26,0,0,0,0,0.0
27,144,0,0,0,2.0
28,0,0,0,0,0.0
29,0,0,0,0,0.0
30,128,0,0,0,2.0
31,208,0,0,0,3.0
32,0,0,0,0,0.0
33,432,0,0,1,1.0
34,16,0,0,0,2.0
35,0,0,0,0,0.0
36,16,0,0,0,1.0
37,64,0,0,0,1.0
38,0,0,0,0,0.0
39,288,0,0,0,1.0
40,96,0,0,0,2.0
41,0,0,0,0,0.0
42,1360,0,0,0,2.0
43,16,0,0,0,2.0
44,0,0,0,0,0.0
45,0,0,0,0,0.0
46,16,0,0,0,1.0
47,0,0,0,0,0.0
48,0,0,0,0,0.0
49,0,0,0,0,0.0
50,0,0,0,0,0.0
51,0,0,0,0,0.0
52,704,0,0,0,3.0
53,0,0,0,0,1.0
54,464,0,0,0,5.0
55,0,0,0,0,0.0
56,0,0,0,0,0.0
57,528,0,0,0,2.0
58,32,0,0,0,1.0
59,944,0,0,0,1.0
60,32,0,0,0,2.0
61,0,0,0,0,0.0
62,0,0,0,0,1.0
63,0,0,0,0,0.0
64,0,0,0,0,0.0
65,0,0,0,0,1.0
66,0,0,0,0,0.0
67,0,0,0,0,1.0
68,0,0,0,0,0.0
69,0,0,0,0,0.0
70,48,0,0,0,1.0
71,0,0,0,0,0.0
72,0,0,0,0,0.0
73,560,0,0,0,2.0
74,0,0,0,0,0.0
75,1472,0,0,0,3.0
76,0,0,0,0,0.0
77,0,0,0,0,0.0
78,480,0,0,0,1.0
79,0,0,0,0,0.0
80,0,0,0,0,0.0
81,0,0,0,0,0.0
82,336,0,0,0,1.0
83,0,0,0,0,0.0
84,48,0,0,0,1.0
85,0,0,0,0,0.0
86,0,0,0,0,1.0
87,0,0,0,0,0.0
88,480,0,25,2,7.0
89,992,0,175,1,5.0
90,0,0,0,0,0.0
91,0,0,0,0,0.0
92,0,0,0,0,1.0
93,0,0,0,0,0.0
94,0,0,0,0,0.0
95,0,0,0,0,0.0
96,1248,0,0,1,1.0
97,112,0,0,0,1.0
98,352,0,0,1,2.0
99,0,0,0,0,0.0
100,0,0,0,0,0.0
101,0,0,0,0,0.0
102,0,0,0,0,0.0
103,23760,0,0,0,1.0
104,128,0,0,1,2.0
105,0,0,0,0,0.0
106,0,0,0,0,0.0
107,0,0,0,0,0.0
108,0,0,0,0,0.0
109,96,0,0,0,2.0
110,416,0,0,0,6.0
111,0,0,0,0,0.0
112,16,0,0,0,1.0
113,0,0,0,0,0.0
114,0,0,0,0,0.0
115,3328,0,0,2,6.0
116,0,0,0,0,0.0
117,880,1,0,0,2.0
118,272,0,0,1,7.0
119,0,0,0,0,0.0
120,0,0,0,0,0.0
121,0,0,0,0,0.0
122,560,0,0,0,1.0
123,0,0,0,0,0.0
124,0,0,0,0,0.0
125,0,0,0,1,1.0
126,32,0,0,0,1.0
