sim,population,hospitals,mobilehomes,psubstations,tors
220,3920,0,125,1,2.0
221,560,0,0,0,1.0
222,2272,0,0,0,2.0
223,544,0,0,1,2.0
224,1792,1,25,0,6.0
225,528,0,0,0,4.0
226,65856,1,25,1,3.0
227,32,0,0,0,1.0
228,4736,0,0,1,4.0
229,336,0,0,0,1.0
230,0,0,0,0,0.0
231,96,0,0,0,1.0
232,64,0,0,0,1.0
233,44016,0,0,5,5.0
234,176,0,0,0,1.0
235,15296,2,975,1,2.0
236,496,0,0,0,4.0
237,2144,0,0,0,6.0
238,0,0,0,0,0.0
239,6096,1,100,0,2.0
240,112,0,0,0,1.0
241,31136,0,150,5,15.0
242,960,0,0,0,4.0
243,3040,0,125,4,4.0
244,0,0,0,0,0.0
245,21424,1,0,3,6.0
246,0,0,0,0,0.0
247,416,0,0,0,2.0
248,2352,0,0,1,2.0
249,368,0,0,1,2.0
250,2288,1,75,4,2.0
251,80,0,0,0,1.0
252,240,0,0,0,1.0
253,32,0,0,0,1.0
254,128,0,0,0,1.0
255,784,0,0,0,4.0
256,0,0,0,0,0.0
257,0,0,0,0,0.0
258,112,0,0,0,1.0
259,2624,0,0,1,5.0
260,544,0,75,2,3.0
261,208,0,0,0,1.0
262,832,0,0,0,3.0
263,3280,0,0,2,9.0
264,0,0,0,0,0.0
265,2400,0,0,0,4.0
266,2480,0,175,3,5.0
267,0,0,0,0,0.0
268,224,0,0,1,1.0
269,880,0,0,0,5.0
270,528,0,0,0,1.0
271,272,0,0,0,4.0
272,2048,0,0,1,4.0
273,9664,0,0,2,3.0
274,6864,0,25,2,7.0
275,112,0,0,0,1.0
276,29744,0,0,2,7.0
277,6112,0,150,0,7.0
278,2960,0,25,0,3.0
279,36240,1,25,6,8.0
280,1440,0,0,1,2.0
281,44000,2,0,5,5.0
282,80,0,0,0,1.0
283,12128,1,100,0,5.0
284,464,0,0,0,1.0
285,17744,0,225,3,2.0
286,688,0,0,2,2.0
287,3392,0,0,3,6.0
288,0,0,0,0,0.0
289,1824,0,0,1,6.0
290,1792,0,0,0,2.0
291,608,0,0,0,1.0
292,1104,0,25,2,5.0
293,752,0,0,0,3.0
294,2624,0,0,0,2.0
295,3984,1,175,5,9.0
296,1408,0,0,0,4.0
297,3600,1,250,2,6.0
298,1424,0,0,0,3.0
299,0,0,0,0,0.0
300,0,0,0,0,0.0
301,224,0,0,0,1.0
302,992,0,0,1,1.0
303,800,0,0,2,4.0
304,480,0,0,0,1.0
305,1680,0,0,3,5.0
306,0,0,0,0,0.0
307,2880,0,0,2,1.0
308,2336,0,225,3,5.0
309,1248,0,0,3,3.0
310,1984,1,125,0,4.0
311,1216,0,0,1,3.0
312,6784,0,25,1,2.0
313,7376,0,225,5,6.0
314,1472,0,100,1,6.0
315,18368,1,0,4,1.0
