sim,population,hospitals,mobilehomes,psubstations,tors
1,0,0,0,0,0.0
2,0,0,0,0,1.0
3,0,0,0,0,1.0
4,1856,0,0,1,6.0
5,0,0,0,0,2.0
6,16,0,0,0,4.0
7,3488,0,50,1,7.0
8,2160,0,0,1,5.0
9,48,0,0,1,1.0
10,3248,0,0,2,19.0
11,3680,0,25,1,8.0
12,1184,0,0,2,12.0
13,96,0,0,1,9.0
14,6336,0,0,1,5.0
15,80,0,0,0,2.0
16,144,0,0,0,5.0
17,9952,0,0,4,18.0
18,160,0,0,0,4.0
19,288,0,0,0,3.0
20,1632,0,0,0,8.0
21,0,0,0,0,1.0
22,1952,0,0,0,2.0
23,1936,2,0,5,20.0
24,16,0,0,0,2.0
25,640,0,0,0,3.0
26,0,0,0,0,1.0
27,6608,0,100,3,33.0
28,0,0,0,0,0.0
29,0,0,0,0,4.0
30,192,0,0,0,7.0
31,592,0,0,2,11.0
32,3776,0,0,5,9.0
33,1664,1,150,11,4.0
34,1184,0,0,3,21.0
35,0,0,0,1,4.0
36,22496,3,0,2,9.0
37,128,0,0,1,11.0
38,0,0,0,0,2.0
39,464,0,0,1,6.0
40,464,0,0,1,8.0
41,64,0,0,0,4.0
42,8800,1,125,5,7.0
43,192,0,0,1,3.0
44,0,0,0,1,2.0
45,560,0,0,1,11.0
46,1520,0,575,4,14.0
47,4432,1,50,5,15.0
48,38896,0,25,6,18.0
49,0,0,0,0,2.0
50,2336,0,0,3,15.0
51,4176,0,500,0,5.0
52,240,0,0,2,15.0
53,32,0,0,1,2.0
54,2848,0,0,0,12.0
55,128,0,0,0,5.0
56,608,0,0,2,12.0
57,16,0,0,1,11.0
58,32,0,0,0,4.0
59,96,0,0,1,6.0
60,16,0,0,0,3.0
61,32,0,0,0,7.0
62,17728,1,75,2,7.0
63,288,0,0,1,4.0
64,8848,0,25,6,19.0
65,16,0,0,0,2.0
66,192,1,0,0,8.0
67,128,0,0,0,8.0
68,96,0,0,1,7.0
69,2000,1,0,1,4.0
70,24288,2,250,9,2.0
71,48,0,0,0,5.0
72,16,0,0,0,2.0
73,64,0,0,0,2.0
74,240,0,0,2,4.0
75,2304,0,125,2,2.0
76,1392,0,0,0,7.0
77,816,1,0,6,23.0
78,320,0,0,1,6.0
79,1600,0,0,0,4.0
80,0,0,0,0,0.0
81,80,0,0,0,5.0
82,3968,0,100,2,5.0
83,2704,0,0,1,2.0
84,512,0,0,2,3.0
85,368,0,0,0,8.0
86,0,0,0,0,1.0
87,128,0,0,4,14.0
88,16,0,0,0,5.0
89,400,0,0,0,13.0
90,192,0,0,0,4.0
91,29360,0,0,0,2.0
92,992,0,0,0,9.0
93,16,0,0,0,2.0
94,80,0,0,0,3.0
95,44416,0,0,3,10.0
96,48,0,0,0,3.0
97,608,0,0,1,5.0
98,10592,0,25,0,7.0
99,160,0,0,0,5.0
100,16,0,0,0,9.0
101,6768,0,125,2,10.0
102,976,0,0,1,5.0
103,48,0,0,0,4.0
104,160,0,0,1,11.0
105,528,0,0,0,3.0
106,2656,0,0,1,7.0
107,0,0,0,0,1.0
108,144,0,0,0,3.0
109,0,0,0,1,4.0
110,0,0,0,0,0.0
111,96,0,0,2,3.0
112,176,0,0,0,2.0
113,624,0,125,2,12.0
114,752,0,0,0,4.0
115,0,0,0,0,3.0
116,0,0,0,0,2.0
117,1856,0,0,0,2.0
118,48,0,0,0,4.0
119,4032,0,0,0,8.0
120,112,0,0,0,5.0
121,96,0,0,0,5.0
122,16,0,0,0,2.0
123,3808,0,175,3,28.0
124,464,0,0,3,7.0
125,48,0,0,1,4.0
126,1168,0,0,0,11.0
127,1568,0,0,2,11.0
128,528,0,0,0,6.0
129,1072,0,0,0,3.0
130,7216,0,0,0,12.0
131,336,0,0,0,3.0
